Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
   Greece;6420;4070;3490;3750;5020;5230;7660;7890;7040;7330;7980;8680;8970;9980;9420;9310;8970;10810;10560;10460;10610;11550;12440;12690;;;;;
   Hungary;5740;6410;5220;6680;7710;5200;6030;6750;7160;7620;7900;8330;8280;8640;9770;8520;9010;8940;8110;7040;7270;6400;7480;5570;;;;;
   Ireland;1290;1180;950;1110;1310;1150;980;1060;1020;1420;1550;1800;1770;2270;2640;2510;2520;2660;1270;1420;1650;2100;2520;2330;;;;;
   Italy;52420;46300;45950;55940;55540;53880;56080;57430;58890;59430;63150;65420;65230;69290;70320;72690;75480;80280;81720;80780;82360;83550;86910;88230;;;;;
   Latvia;;;200;600;230;300;660;1440;1590;1830;1810;1560;1640;1860;1880;1910;2210;1510;1540;1320;1380;1410;1570;1610;;;;;
   Lithuania;;;20;90;470;1130;1500;1870;1850;2060;2130;2670;2630;2210;2560;2840;3170;3360;3900;4110;3760;2890;3370;3620;;;;;
   Luxembourg;;;;;;;;;;1450;2320;2100;2530;2890;3160;3310;3360;3600;3510;3300;3490;3260;3230;3780;;;;;
   Malta;210;160;180;230;130;230;90;90;100;90;90;90;100;110;160;160;290;160;230;140;120;170;210;220;;;;;
   Netherlands;31280;31210;32050;28040;28000;29100;30840;29240;28620;25660;29660;27940;27600;31760;31590;29880;32930;35310;23040;25020;25830;26780;27300;34070;;;;;
   Poland;4350;2500;17870;16700;18430;17710;19240;22530;22930;24040;25760;27190;26430;26640;26870;27920;26540;22640;24600;31620;32790;34040;35430;32840;;;;;
   Portugal;5520;5570;5910;6660;6640;6330;7430;7270;7620;8170;8110;8430;8380;8340;8380;8310;8620;9110;8850;8870;10100;10580;10760;10630;;;;;
   Romania;4420;3350;6030;4250;3470;5510;6970;6310;5950;5110;5520;6330;7380;7550;8280;8740;8540;8400;8260;8110;8390;8440;9030;9710;;;;;
   Slovakia;;;;2880;2570;2500;2610;2530;2590;2690;2860;3170;3000;3030;2980;3080;3470;5080;6110;4580;6550;7770;7720;7980;;;;;
   Slovenia;;;1230;1520;1590;1480;1750;1710;1740;1820;1870;1940;2010;1770;1960;1910;1870;2050;2050;2100;2180;2230;2210;2580;;;;;
   Spain;30530;29700;34140;28130;30280;31460;35150;37770;37180;39860;37680;40580;40260;41360;41730;43560;45380;48750;48640;48110;50340;48210;50940;51370;;;;;
   Sweden;17670;17170;17720;17570;18930;14200;15220;14730;14400;14560;13440;14320;14630;14350;14950;16930;18200;17700;18040;16590;17270;16470;16800;17090;;;;;
   United Kingdom;28980;28060;30880;31970;34660;28070;29030;29290;31420;29070;30120;30620;29710;30020;33290;34330;40460;37810;39670;41310;43020;41830;41260;42060;;;;;
Japan;53300;55100;53260;56910;62170;54890;59940;59210;60270;65470;69080;69960;73070;69230;72540;74080;76320;70860;70600;70900;74070;75440;70250;83810;76570;80630;80260;76470;75399818233
Norway;7420;7610;7390;6930;8060;6620;7200;6840;7070;7900;6620;7160;6980;6910;7160;7530;7310;7800;7220;7240;7590;7950;7350;7810;7430;8000;7990;8010;743340422
Russian Federation;;;13820;17950;17260;17280;11280;21850;17320;13680;18900;30570;35040;37720;32050;33360;34650;43180;40530;35530;41550;42180;41750;44100;47470;47100;52330;54680;52875415624
Switzerland;11710;11300;11010;10600;10990;10170;11120;9710;11120;11390;11710;12550;12170;13220;12360;16410;15030;18230;19780;21010;23180;24980;24780;26670;26430;27480;28160;29040;30860189131
Tunisia;1010;900;1110;1010;1370;1370;1440;1650;1470;1860;1920;2330;2360;1230;2640;1900;2090;2530;3180;2890;3040;4290;4390;4390;4600;4590;4660;5460;532966563
USA;210070;198400;229390;193290;161710;171070;194450;203430;210300;227460;237670;214150;216390;227600;231840;230420;237090;242190;242770;235780;243780;260930;260560;270160;275650;277080;288380;29487886464;28918207055
Africa;2,08826E+16;2,8758E+15;20892880337;2,63389E+16;27171546953;19196889833;2,30602E+16;27004105638;1,74872E+16;3,54881E+15;3,18925E+15;28150;34440;32670;39130;36850;36810;39730;45260;44370;46450;44860;49650;58100;52330;55300;58670;52400;63470
Algeria;10588870001;1782264;8622660006;14700250026;16976750046;8977350043;12290680096;14610229982;4753950068;22277450036;1778846999;14550;18520;17520;21590;18920;18360;19680;21180;20660;20210;19420;21170;21250;21540;21590;23230;21900;22060
Botswana;129740017;115360014;180990014;220700006;204249987;92490018;264270028;132610014;295370006;374280014;20736;170;180;350;340;350;180;130;330;240;220;230;310;220;210;330;230;210;60
Burkina Faso;55340021;70539981;18930026;70710053;8430995;131249946;114190037;120100048;163450003;221849986;138419978;110;150;320;260;210;50;330;210;380;600;700;650;780;830;1280;920;1070;2410
Cape Verde;16700001;71190003;175000007;99680017;80260006;125909996;130530015;77060008;87420022;92259974;97999992;100;90;110;140;110;110;100;110;110;110;110;120;120;110;110;120;140;140
Chad;2000004;2000004;2000004;2000004;24059987;14421746;1781684;10533254;26;26;1516684;0;0;50;20;40;40;40;40;40;40;0;0;0;0;10;10;30;120
Comoros;0;0;810004;2080011;620009;219991;839991;138999;511303;1073227;558908;0;0;0;0;0;0;0;0;0;0;10;20;0;0;0;10;10;20
Djibouti;4700004;4010001;5859996;9349999;5369986;378001;3380001;1590007;1780002;1290002;1983254;10;30;50;30;280;120;210;140;170;100;90;40;260;210;320;260;460;370
Egypt;855720028;107912;1332790004;1077110025;920640022;1253240004;1502049999;2136490037;116165;1406510048;951470001;790;1120;1080;1180;1260;1160;1510;3860;3230;2970;4390;6950;10360;5930;7260;9180;5660;7000
